,SAHMREALTIME,Gold_Price_Monthly_Avg
2000-01-01,-0.03,284.992380952381
2000-02-01,0.0,300.48904761904765
2000-03-01,0.0,286.1586956521739
2000-04-01,-0.03,280.142
2000-05-01,0.0,275.03869565217394
2000-06-01,-0.03,286.2481818181818
2000-07-01,0.03,281.57142857142856
2000-08-01,0.03,274.6847826086956
2000-09-01,0.0,273.73571428571427
2000-10-01,-0.03,270.1727272727273
2000-11-01,-0.03,266.03409090909093
2000-12-01,0.03,272.1642857142857
2001-01-01,0.13,265.67045454545456
2001-02-01,0.2,262.24
2001-03-01,0.3,263.0468181818182
2001-04-01,0.4,261.1
2001-05-01,0.47,272.3804347826087
2001-06-01,0.53,271.04285714285714
2001-07-01,0.53,267.81363636363636
2001-08-01,0.7,273.0934782608696
2001-09-01,0.83,283.885
2001-10-01,1.13,283.03869565217394
2001-11-01,1.4,276.02500000000003
2001-12-01,1.63,276.51428571428573
2002-01-01,1.6,282.01363636363635
2002-02-01,1.5,296.2725
2002-03-01,1.37,294.9152380952381
2002-04-01,1.4,303.34318181818185
2002-05-01,1.43,314.94652173913045
2002-06-01,1.4,321.147
2002-07-01,1.33,313.3804347826087
2002-08-01,1.13,310.59318181818185
2002-09-01,0.9,319.51190476190476
2002-10-01,0.57,316.5108695652174
2002-11-01,0.43,319.3619047619048
2002-12-01,0.3,335.54318181818184
2003-01-01,0.23,358.20681818181816
2003-02-01,0.2,357.853
2003-03-01,0.13,340.2366666666667
2003-04-01,0.13,329.5068181818182
2003-05-01,0.2,356.66590909090905
2003-06-01,0.4,356.4709523809523
2003-07-01,0.47,351.4
2003-08-01,0.47,360.86095238095237
2003-09-01,0.37,379.235
2003-10-01,0.3,378.74
2003-11-01,0.23,390.423
2003-12-01,0.03,409.08173913043476
2004-01-01,-0.1,413.87
2004-02-01,-0.1,404.1685
2004-03-01,0.0,407.58434782608697
2004-04-01,0.0,404.71590909090907
2004-05-01,0.0,384.70666666666665
2004-06-01,-0.03,391.9440909090909
2004-07-01,-0.03,398.285
2004-08-01,-0.07,401.65909090909093
2004-09-01,-0.07,406.00590909090903
2004-10-01,0.0,421.04857142857145
2004-11-01,0.0,439.9259090909091
2004-12-01,0.0,442.4960869565217
2005-01-01,-0.1,424.22428571428566
2005-02-01,0.0,424.31149999999997
2005-03-01,-0.07,433.87347826086955
2005-04-01,0.0,429.5619047619047
2005-05-01,-0.1,422.38090909090903
2005-06-01,-0.07,431.30181818181813
2005-07-01,-0.07,424.5533333333334
2005-08-01,-0.07,438.0565217391304
2005-09-01,0.03,456.7863636363636
2005-10-01,0.03,469.8647619047619
2005-11-01,0.07,477.66636363636366
2005-12-01,-0.03,509.545
2006-01-01,-0.07,551.9166666666666
2006-02-01,-0.07,555.4100000000001
2006-03-01,-0.07,558.3565217391305
2006-04-01,0.0,611.9915
2006-05-01,-0.07,673.6695652173913
2006-06-01,-0.03,596.1954545454546
2006-07-01,0.03,633.6219047619047
2006-08-01,0.07,630.658695652174
2006-09-01,0.07,598.6357142857144
2006-10-01,-0.07,586.7795454545454
2006-11-01,-0.07,628.2600000000001
2006-12-01,-0.03,628.545238095238
2007-01-01,0.07,631.0636363636363
2007-02-01,0.07,666.4350000000001
2007-03-01,0.03,654.1918181818181
2007-04-01,0.0,679.6404761904762
2007-05-01,0.0,667.5891304347825
2007-06-01,0.03,655.4452380952381
2007-07-01,0.07,665.6931818181819
2007-08-01,0.1,665.908695652174
2007-09-01,0.17,713.6025
2007-10-01,0.2,756.7217391304347
2007-11-01,0.23,806.550909090909
2007-12-01,0.4,806.9714285714286
2008-01-01,0.4,888.3291304347825
2008-02-01,0.43,925.4980952380952
2008-03-01,0.47,960.2666666666667
2008-04-01,0.5,910.3022727272728
2008-05-01,0.73,890.7886363636363
2008-06-01,0.8,890.5833333333334
2008-07-01,0.97,940.0434782608696
2008-08-01,1.1,836.6166666666667
2008-09-01,1.27,828.8613636363636
2008-10-01,1.5,805.4152173913043
2008-11-01,1.7,760.87
2008-12-01,2.07,825.7434782608696
2009-01-01,2.37,862.7545454545453
2009-02-01,2.77,942.2049999999999
2009-03-01,3.13,926.6636363636363
2009-04-01,3.53,890.6931818181819
2009-05-01,3.73,930.445238095238
2009-06-01,3.9,945.7136363636364
2009-07-01,3.8,935.1347826086956
2009-08-01,3.67,949.8380952380952
2009-09-01,3.57,998.0363636363636
2009-10-01,3.57,1044.8931818181818
2009-11-01,3.47,1131.7928571428572
2009-12-01,3.07,1126.65
2010-01-01,2.57,1117.152380952381
2010-02-01,2.03,1098.8700000000001
2010-03-01,1.53,1114.2826086956522
2010-04-01,1.2,1149.4209090909092
2010-05-01,0.8,1206.1238095238095
2010-06-01,0.43,1234.1627272727271
2010-07-01,0.13,1193.1218181818183
2010-08-01,0.0,1217.675
2010-09-01,0.03,1272.5613636363635
2010-10-01,0.07,1345.0785714285714
2010-11-01,0.13,1371.9386363636365
2010-12-01,0.1,1392.6426086956521
2011-01-01,-0.13,1360.764761904762
2011-02-01,-0.3,1374.6
2011-03-01,-0.2,1423.3321739130436
2011-04-01,0.0,1485.3028571428572
2011-05-01,0.07,1512.4022727272727
2011-06-01,0.2,1528.415
2011-07-01,0.23,1574.5614285714287
2011-08-01,0.23,1763.8891304347824
2011-09-01,0.2,1771.6563636363637
2011-10-01,0.17,1671.084285714286
2011-11-01,0.0,1739.3531818181816
2011-12-01,-0.17,1638.3368181818184
2012-01-01,-0.2,1657.355909090909
2012-02-01,-0.13,1741.5757142857142
2012-03-01,-0.1,1676.4431818181818
2012-04-01,-0.07,1649.8185714285714
2012-05-01,-0.03,1587.7439130434782
2012-06-01,0.0,1600.5666666666668
2012-07-01,0.07,1593.5054545454548
2012-08-01,0.03,1630.3321739130436
2012-09-01,-0.1,1745.855
2012-10-01,-0.13,1744.7021739130435
2012-11-01,-0.13,1722.9595454545454
2012-12-01,0.0,1683.094285714286
2013-01-01,0.0,1671.1117391304347
2013-02-01,-0.03,1626.909
2013-03-01,-0.07,1593.2455
2013-04-01,-0.13,1485.2736363636363
2013-05-01,-0.03,1416.4339130434782
2013-06-01,0.0,1342.2485000000001
2013-07-01,-0.03,1288.1347826086956
2013-08-01,-0.1,1353.5136363636364
2013-09-01,-0.13,1350.9552380952382
2013-10-01,-0.03,1315.674347826087
2013-11-01,-0.1,1274.9538095238095
2013-12-01,-0.17,1221.4845454545455
2014-01-01,-0.2,1243.9473913043478
2014-02-01,-0.1,1302.5049999999999
2014-03-01,0.0,1335.0319047619046
2014-04-01,-0.1,1298.7918181818184
2014-05-01,-0.13,1288.2981818181818
2014-06-01,-0.2,1282.677619047619
2014-07-01,-0.03,1311.6704347826087
2014-08-01,-0.07,1295.66
2014-09-01,-0.07,1238.0895454545455
2014-10-01,-0.13,1223.1108695652174
2014-11-01,-0.1,1176.8785
2014-12-01,-0.1,1199.4636363636364
2015-01-01,0.0,1251.5736363636363
2015-02-01,-0.1,1227.083
2015-03-01,-0.03,1179.5522727272728
2015-04-01,-0.1,1200.3027272727272
2015-05-01,0.0,1199.0742857142857
2015-06-01,-0.07,1182.3913636363636
2015-07-01,-0.03,1130.6834782608696
2015-08-01,-0.13,1119.540476190476
2015-09-01,-0.07,1125.32
2015-10-01,-0.1,1157.875
2015-11-01,-0.03,1084.9895238095237
2015-12-01,-0.03,1068.9421739130435
2016-01-01,-0.03,1096.5366666666666
2016-02-01,-0.03,1201.6028571428571
2016-03-01,0.0,1243.8191304347827
2016-04-01,0.03,1242.182857142857
2016-05-01,-0.03,1256.4645454545455
2016-06-01,-0.03,1276.245909090909
2016-07-01,-0.03,1339.8090476190475
2016-08-01,0.07,1338.4904347826086
2016-09-01,0.1,1326.5931818181818
2016-10-01,0.1,1265.91
2016-11-01,0.0,1234.0659090909091
2016-12-01,-0.07,1150.4140909090909
2017-01-01,0.0,1192.359090909091
2017-02-01,0.03,1235.1385
2017-03-01,-0.03,1231.3095652173913
2017-04-01,-0.13,1271.0615
2017-05-01,-0.13,1245.6734782608694
2017-06-01,-0.03,1260.040909090909
2017-07-01,-0.03,1237.5457142857142
2017-08-01,0.03,1284.3278260869565
2017-09-01,-0.03,1315.3361904761905
2017-10-01,-0.07,1280.9072727272726
2017-11-01,-0.1,1282.090909090909
2017-12-01,-0.03,1266.92
2018-01-01,0.0,1331.0260869565216
2018-02-01,0.0,1331.7795
2018-03-01,0.0,1326.3885714285714
2018-04-01,-0.07,1335.0233333333333
2018-05-01,-0.1,1303.3095652173913
2018-06-01,-0.03,1280.3780952380953
2018-07-01,0.0,1237.7854545454545
2018-08-01,0.03,1200.34
2018-09-01,-0.07,1198.034
2018-10-01,-0.07,1215.3330434782608
2018-11-01,-0.07,1220.8295454545455
2018-12-01,0.07,1251.8505
2019-01-01,0.13,1292.3460869565217
2019-02-01,0.17,1319.068
2019-03-01,0.13,1294.7036363636364
